artist,track,id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature
Maroon 5,She Will Be Loved,7sapKrjDij2fpDVj0GxP66,2002-06-25,0.706,0.713,0,-5.512,0,0.0301,0.0596,0,0.132,0.544,102.037,spotify:track:7sapKrjDij2fpDVj0GxP66,https://api.spotify.com/v1/tracks/7sapKrjDij2fpDVj0GxP66,https://api.spotify.com/v1/audio-analysis/7sapKrjDij2fpDVj0GxP66,257133,4
Bruno Mars,Leave The Door Open,4pryE6cN2gFL1FVF5fYINl,2021-11-12,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,spotify:track:4pryE6cN2gFL1FVF5fYINl,https://api.spotify.com/v1/tracks/4pryE6cN2gFL1FVF5fYINl,https://api.spotify.com/v1/audio-analysis/4pryE6cN2gFL1FVF5fYINl,242096,4
Billie Eilish,ocean eyes,2uIX8YMNjGMD7441kqyyNU,2016-11-18,0.475,0.37,4,-7.725,0,0.0361,0.819,0.0577,0.0841,0.157,144.828,spotify:track:2uIX8YMNjGMD7441kqyyNU,https://api.spotify.com/v1/tracks/2uIX8YMNjGMD7441kqyyNU,https://api.spotify.com/v1/audio-analysis/2uIX8YMNjGMD7441kqyyNU,200560,4
Maroon 5,Payphone,1LmN9SSHISbtp9LoaR5ZVJ,2021-06-20,0.739,0.756,4,-4.828,1,0.0394,0.0136,0,0.37,0.523,110.028,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,https://api.spotify.com/v1/tracks/1LmN9SSHISbtp9LoaR5ZVJ,https://api.spotify.com/v1/audio-analysis/1LmN9SSHISbtp9LoaR5ZVJ,231387,4
Ariana Grande,Side To Side,43bCmCI0nSgcT7QdMXY6LV,2016-05-20,0.65,0.736,6,-5.84,0,0.229,0.0528,0,0.235,0.613,159.173,spotify:track:43bCmCI0nSgcT7QdMXY6LV,https://api.spotify.com/v1/tracks/43bCmCI0nSgcT7QdMXY6LV,https://api.spotify.com/v1/audio-analysis/43bCmCI0nSgcT7QdMXY6LV,226160,4
Rihanna,Stay,1dEy9Pl81QopSxNsPxXQxv,2012-12-11,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12E-05,0.117,0.125,111.893,spotify:track:1dEy9Pl81QopSxNsPxXQxv,https://api.spotify.com/v1/tracks/1dEy9Pl81QopSxNsPxXQxv,https://api.spotify.com/v1/audio-analysis/1dEy9Pl81QopSxNsPxXQxv,240707,4
Maroon 5,What Lovers Do (feat. SZA),2j5hsQvApottzvTn4pFJWF,2018-06-15,0.799,0.597,5,-5.131,0,0.0611,0.0788,5.66E-06,0.1,0.419,110.001,spotify:track:2j5hsQvApottzvTn4pFJWF,https://api.spotify.com/v1/tracks/2j5hsQvApottzvTn4pFJWF,https://api.spotify.com/v1/audio-analysis/2j5hsQvApottzvTn4pFJWF,199849,4
Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,6V1bu6o1Yo5ZXnsCJU8Ovk,2018-06-15,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,https://api.spotify.com/v1/tracks/6V1bu6o1Yo5ZXnsCJU8Ovk,https://api.spotify.com/v1/audio-analysis/6V1bu6o1Yo5ZXnsCJU8Ovk,235545,4
Ariana Grande,Into You,49gRYU6hBWgSH2JVixGkJq,2016-05-20,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75E-06,0.145,0.37,107.853,spotify:track:49gRYU6hBWgSH2JVixGkJq,https://api.spotify.com/v1/tracks/49gRYU6hBWgSH2JVixGkJq,https://api.spotify.com/v1/audio-analysis/49gRYU6hBWgSH2JVixGkJq,244440,4
Rihanna,We Found Love,3t4HeVfURZ5DuqMWz0Cmqg,2012-07-18,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986,spotify:track:3t4HeVfURZ5DuqMWz0Cmqg,https://api.spotify.com/v1/tracks/3t4HeVfURZ5DuqMWz0Cmqg,https://api.spotify.com/v1/audio-analysis/3t4HeVfURZ5DuqMWz0Cmqg,215227,4
Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,1994-10-28,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107,4
Wham!,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,1984-11-29,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,spotify:track:2FRnf9qhLbvw8fu4IBXx78,https://api.spotify.com/v1/tracks/2FRnf9qhLbvw8fu4IBXx78,https://api.spotify.com/v1/audio-analysis/2FRnf9qhLbvw8fu4IBXx78,262960,4
Rihanna,Diamonds,7Kt59L2ZZGtOnIhvMwzG6f,2012-12-11,0.564,0.71,11,-4.92,0,0.0461,0.00125,0,0.109,0.393,91.972,spotify:track:7Kt59L2ZZGtOnIhvMwzG6f,https://api.spotify.com/v1/tracks/7Kt59L2ZZGtOnIhvMwzG6f,https://api.spotify.com/v1/audio-analysis/7Kt59L2ZZGtOnIhvMwzG6f,225147,4
Drake,In My Feelings,0h1W19pS59KtEd7aDzF58i,2018-06-29,0.833,0.619,8,-5.822,1,0.0971,0.0496,8.67E-05,0.3,0.366,91.022,spotify:track:0h1W19pS59KtEd7aDzF58i,https://api.spotify.com/v1/tracks/0h1W19pS59KtEd7aDzF58i,https://api.spotify.com/v1/audio-analysis/0h1W19pS59KtEd7aDzF58i,217925,4
