,,,,,,,,,,,,,
List of Alberta Snowfly Elements in the ACIMS Database - June 2022,,,,,,,,,,,,,
,"Please note:  Elements may be tracked at the species or subspecies/variety level, so be sure to check both the species and infraspecies for tracking status.",,,,,,,,,,,,
Alberta,Invertebrate Animal,IIPLE0X030,Taeniopterygidae,Oemopteryx glacialis,Canadian willowfly,Oemopteryx glacialis,Canadian Willowfly,SU,N4N5,G4G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0Z080,Taeniopterygidae,Taenionema pacificum,pacific willowfly,Taenionema pacificum,Pacific Willowfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0Z090,Taeniopterygidae,Taenionema pallidum,common willowfly,Taenionema pallidum,Common Willowfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE10070,Taeniopterygidae,Taeniopteryx nivalis,boreal willowfly,Taeniopteryx nivalis,Boreal Willowfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE10080,Taeniopterygidae,Taeniopteryx parvula,hooked willowfly,Taeniopteryx parvula,Hooked Willowfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE11100,Chloroperlidae,Alloperla delicata,delicate sallfly,Alloperla delicata,Delicate Sallfly,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE11170,Chloroperlidae,Alloperla medveda,beartooth sallfly,Alloperla medveda,Beartooth Sallfly,SU,NU,G4,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE11250,Chloroperlidae,Alloperla serrata,sawtooth sallfly,Alloperla serrata,Sawtooth Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE11260,Chloroperlidae,Alloperla severa,western sallfly,Alloperla severa,Western Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE14010,Chloroperlidae,Haploperla brevis,least sallfly,Haploperla brevis,Least Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE16010,Chloroperlidae,Plumiperla diversa,margined sallfly,Plumiperla diversa,Margined Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE18010,Chloroperlidae,Suwallia autumna,autumn sallfly,Suwallia autumna,Autumn Sallfly,SU,NU,G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE18020,Chloroperlidae,Suwallia dubia,pale sallfly,Suwallia dubia,Pale Sallfly,SU,NU,G5,Native,Present,Track all extant and selected historical EOs
