PLAYER,TEAM,TEAM_ID,SEASON,GP,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPs,%PTS FT,%PTS OffTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
Rebekah Gardner,Chicago Sky,1611661329,1999,3,19.8,64.3,35.7,28.6,0,42.9,42.9,28.5,52.4,28.6,0,100,100,0,50,50
Robyn Parks,Chicago Sky,1611661329,1999,12,13,35.7,64.3,21.6,0,73,13.5,5.4,8.1,21.6,75,25,100,0,92.3,7.7
Sika Koné,Chicago Sky,1611661329,1999,11,8.9,91.7,8.3,63.4,0,0,9.8,36.6,14.6,63.4,69.2,30.8,0,0,69.2,30.8
Taylor Soule,Chicago Sky,1611661329,1999,5,5.5,85.7,14.3,28.6,0,0,0,71.4,0,28.6,100,0,0,0,100,0
Alanna Smith,Chicago Sky,1611661329,2000,15,27.7,62.9,37.1,57.7,5.1,26.9,15.4,15.4,12.2,52.6,75.6,24.4,100,0,81.4,18.6
Courtney Williams,Chicago Sky,1611661329,2000,15,30.6,69.8,30.2,55.3,29.3,41.5,14.6,3.2,17.9,26,35.3,64.7,94.1,5.9,54.9,45.1
Dana Evans,Chicago Sky,1611661329,2000,14,22.9,55.3,44.7,51.1,13.5,31.6,8.3,17.3,24.1,37.6,38.2,61.8,85.7,14.3,52.1,47.9
Elizabeth Williams,Chicago Sky,1611661329,2000,15,28.1,100,0,91.1,3.3,0,4.9,8.9,18.7,87.8,85.7,14.3,0,0,85.7,14.3
Kahleah Copper,Chicago Sky,1611661329,2000,14,31.4,76.3,23.7,58.3,21.7,27.4,21.3,14.3,20.9,36.5,64.2,35.8,95.2,4.8,71.6,28.4
Khaalia Hillsman,Chicago Sky,1611661329,2000,1,0.9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Kristine Anigwe,Chicago Sky,1611661329,2000,9,9.1,95.5,4.5,80,0,0,16,20,24,80,50,50,0,0,50,50
Marina Mabrey,Chicago Sky,1611661329,2000,14,30.5,60.3,39.7,45.7,17.9,35,16.6,19.3,18.4,27.8,41.2,58.8,65.4,34.6,49.4,50.6
Morgan Bertsch,Chicago Sky,1611661329,2000,7,17.2,74.3,25.7,60.5,9.3,27.9,27.9,11.6,23.3,51.2,84.6,15.4,100,0,88.2,11.8
Rebekah Gardner,Chicago Sky,1611661329,2000,3,19.8,64.3,35.7,28.6,0,42.9,42.9,28.5,52.4,28.6,0,100,100,0,50,50
Robyn Parks,Chicago Sky,1611661329,2000,12,13,35.7,64.3,21.6,0,73,13.5,5.4,8.1,21.6,75,25,100,0,92.3,7.7
Sika Koné,Chicago Sky,1611661329,2000,11,8.9,91.7,8.3,63.4,0,0,9.8,36.6,14.6,63.4,69.2,30.8,0,0,69.2,30.8
Taylor Soule,Chicago Sky,1611661329,2000,5,5.5,85.7,14.3,28.6,0,0,0,71.4,0,28.6,100,0,0,0,100,0
Alanna Smith,Chicago Sky,1611661329,2001,15,27.7,62.9,37.1,57.7,5.1,26.9,15.4,15.4,12.2,52.6,75.6,24.4,100,0,81.4,18.6
Courtney Williams,Chicago Sky,1611661329,2001,15,30.6,69.8,30.2,55.3,29.3,41.5,14.6,3.2,17.9,26,35.3,64.7,94.1,5.9,54.9,45.1
Dana Evans,Chicago Sky,1611661329,2001,14,22.9,55.3,44.7,51.1,13.5,31.6,8.3,17.3,24.1,37.6,38.2,61.8,85.7,14.3,52.1,47.9
Elizabeth Williams,Chicago Sky,1611661329,2001,15,28.1,100,0,91.1,3.3,0,4.9,8.9,18.7,87.8,85.7,14.3,0,0,85.7,14.3
Kahleah Copper,Chicago Sky,1611661329,2001,14,31.4,76.3,23.7,58.3,21.7,27.4,21.3,14.3,20.9,36.5,64.2,35.8,95.2,4.8,71.6,28.4
Khaalia Hillsman,Chicago Sky,1611661329,2001,1,0.9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Kristine Anigwe,Chicago Sky,1611661329,2001,9,9.1,95.5,4.5,80,0,0,16,20,24,80,50,50,0,0,50,50
Marina Mabrey,Chicago Sky,1611661329,2001,14,30.5,60.3,39.7,45.7,17.9,35,16.6,19.3,18.4,27.8,41.2,58.8,65.4,34.6,49.4,50.6
Morgan Bertsch,Chicago Sky,1611661329,2001,7,17.2,74.3,25.7,60.5,9.3,27.9,27.9,11.6,23.3,51.2,84.6,15.4,100,0,88.2,11.8
Rebekah Gardner,Chicago Sky,1611661329,2001,3,19.8,64.3,35.7,28.6,0,42.9,42.9,28.5,52.4,28.6,0,100,100,0,50,50
Robyn Parks,Chicago Sky,1611661329,2001,12,13,35.7,64.3,21.6,0,73,13.5,5.4,8.1,21.6,75,25,100,0,92.3,7.7
Sika Koné,Chicago Sky,1611661329,2001,11,8.9,91.7,8.3,63.4,0,0,9.8,36.6,14.6,63.4,69.2,30.8,0,0,69.2,30.8
Taylor Soule,Chicago Sky,1611661329,2001,5,5.5,85.7,14.3,28.6,0,0,0,71.4,0,28.6,100,0,0,0,100,0
Alanna Smith,Chicago Sky,1611661329,2002,15,27.7,62.9,37.1,57.7,5.1,26.9,15.4,15.4,12.2,52.6,75.6,24.4,100,0,81.4,18.6
Courtney Williams,Chicago Sky,1611661329,2002,15,30.6,69.8,30.2,55.3,29.3,41.5,14.6,3.2,17.9,26,35.3,64.7,94.1,5.9,54.9,45.1
Dana Evans,Chicago Sky,1611661329,2002,14,22.9,55.3,44.7,51.1,13.5,31.6,8.3,17.3,24.1,37.6,38.2,61.8,85.7,14.3,52.1,47.9
Elizabeth Williams,Chicago Sky,1611661329,2002,15,28.1,100,0,91.1,3.3,0,4.9,8.9,18.7,87.8,85.7,14.3,0,0,85.7,14.3
Kahleah Copper,Chicago Sky,1611661329,2002,14,31.4,76.3,23.7,58.3,21.7,27.4,21.3,14.3,20.9,36.5,64.2,35.8,95.2,4.8,71.6,28.4
Khaalia Hillsman,Chicago Sky,1611661329,2002,1,0.9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Kristine Anigwe,Chicago Sky,1611661329,2002,9,9.1,95.5,4.5,80,0,0,16,20,24,80,50,50,0,0,50,50
Marina Mabrey,Chicago Sky,1611661329,2002,14,30.5,60.3,39.7,45.7,17.9,35,16.6,19.3,18.4,27.8,41.2,58.8,65.4,34.6,49.4,50.6
Morgan Bertsch,Chicago Sky,1611661329,2002,7,17.2,74.3,25.7,60.5,9.3,27.9,27.9,11.6,23.3,51.2,84.6,15.4,100,0,88.2,11.8
Rebekah Gardner,Chicago Sky,1611661329,2002,3,19.8,64.3,35.7,28.6,0,42.9,42.9,28.5,52.4,28.6,0,100,100,0,50,50
Robyn Parks,Chicago Sky,1611661329,2002,12,13,35.7,64.3,21.6,0,73,13.5,5.4,8.1,21.6,75,25,100,0,92.3,7.7
Sika Koné,Chicago Sky,1611661329,2002,11,8.9,91.7,8.3,63.4,0,0,9.8,36.6,14.6,63.4,69.2,30.8,0,0,69.2,30.8
Taylor Soule,Chicago Sky,1611661329,2002,5,5.5,85.7,14.3,28.6,0,0,0,71.4,0,28.6,100,0,0,0,100,0
Alanna Smith,Chicago Sky,1611661329,2003,15,27.7,62.9,37.1,57.7,5.1,26.9,15.4,15.4,12.2,52.6,75.6,24.4,100,0,81.4,18.6
Courtney Williams,Chicago Sky,1611661329,2003,15,30.6,69.8,30.2,55.3,29.3,41.5,14.6,3.2,17.9,26,35.3,64.7,94.1,5.9,54.9,45.1
Dana Evans,Chicago Sky,1611661329,2003,14,22.9,55.3,44.7,51.1,13.5,31.6,8.3,17.3,24.1,37.6,38.2,61.8,85.7,14.3,52.1,47.9
Elizabeth Williams,Chicago Sky,1611661329,2003,15,28.1,100,0,91.1,3.3,0,4.9,8.9,18.7,87.8,85.7,14.3,0,0,85.7,14.3
Kahleah Copper,Chicago Sky,1611661329,2003,14,31.4,76.3,23.7,58.3,21.7,27.4,21.3,14.3,20.9,36.5,64.2,35.8,95.2,4.8,71.6,28.4
Khaalia Hillsman,Chicago Sky,1611661329,2003,1,0.9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Kristine Anigwe,Chicago Sky,1611661329,2003,9,9.1,95.5,4.5,80,0,0,16,20,24,80,50,50,0,0,50,50
Marina Mabrey,Chicago Sky,1611661329,2003,14,30.5,60.3,39.7,45.7,17.9,35,16.6,19.3,18.4,27.8,41.2,58.8,65.4,34.6,49.4,50.6
Morgan Bertsch,Chicago Sky,1611661329,2003,7,17.2,74.3,25.7,60.5,9.3,27.9,27.9,11.6,23.3,51.2,84.6,15.4,100,0,88.2,11.8
Rebekah Gardner,Chicago Sky,1611661329,2003,3,19.8,64.3,35.7,28.6,0,42.9,42.9,28.5,52.4,28.6,0,100,100,0,50,50
Robyn Parks,Chicago Sky,1611661329,2003,12,13,35.7,64.3,21.6,0,73,13.5,5.4,8.1,21.6,75,25,100,0,92.3,7.7
Sika Koné,Chicago Sky,1611661329,2003,11,8.9,91.7,8.3,63.4,0,0,9.8,36.6,14.6,63.4,69.2,30.8,0,0,69.2,30.8
Taylor Soule,Chicago Sky,1611661329,2003,5,5.5,85.7,14.3,28.6,0,0,0,71.4,0,28.6,100,0,0,0,100,0
Alanna Smith,Chicago Sky,1611661329,2004,15,27.7,62.9,37.1,57.7,5.1,26.9,15.4,15.4,12.2,52.6,75.6,24.4,100,0,81.4,18.6
Courtney Williams,Chicago Sky,1611661329,2004,15,30.6,69.8,30.2,55.3,29.3,41.5,14.6,3.2,17.9,26,35.3,64.7,94.1,5.9,54.9,45.1
Dana Evans,Chicago Sky,1611661329,2004,14,22.9,55.3,44.7,51.1,13.5,31.6,8.3,17.3,24.1,37.6,38.2,61.8,85.7,14.3,52.1,47.9
Elizabeth Williams,Chicago Sky,1611661329,2004,15,28.1,100,0,91.1,3.3,0,4.9,8.9,18.7,87.8,85.7,14.3,0,0,85.7,14.3
Kahleah Copper,Chicago Sky,1611661329,2004,14,31.4,76.3,23.7,58.3,21.7,27.4,21.3,14.3,20.9,36.5,64.2,35.8,95.2,4.8,71.6,28.4
Khaalia Hillsman,Chicago Sky,1611661329,2004,1,0.9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Kristine Anigwe,Chicago Sky,1611661329,2004,9,9.1,95.5,4.5,80,0,0,16,20,24,80,50,50,0,0,50,50
Marina Mabrey,Chicago Sky,1611661329,2004,14,30.5,60.3,39.7,45.7,17.9,35,16.6,19.3,18.4,27.8,41.2,58.8,65.4,34.6,49.4,50.6
Morgan Bertsch,Chicago Sky,1611661329,2004,7,17.2,74.3,25.7,60.5,9.3,27.9,27.9,11.6,23.3,51.2,84.6,15.4,100,0,88.2,11.8
Rebekah Gardner,Chicago Sky,1611661329,2004,3,19.8,64.3,35.7,28.6,0,42.9,42.9,28.5,52.4,28.6,0,100,100,0,50,50
Robyn Parks,Chicago Sky,1611661329,2004,12,13,35.7,64.3,21.6,0,73,13.5,5.4,8.1,21.6,75,25,100,0,92.3,7.7
Sika Koné,Chicago Sky,1611661329,2004,11,8.9,91.7,8.3,63.4,0,0,9.8,36.6,14.6,63.4,69.2,30.8,0,0,69.2,30.8
Taylor Soule,Chicago Sky,1611661329,2004,5,5.5,85.7,14.3,28.6,0,0,0,71.4,0,28.6,100,0,0,0,100,0
Alanna Smith,Chicago Sky,1611661329,2005,15,27.7,62.9,37.1,57.7,5.1,26.9,15.4,15.4,12.2,52.6,75.6,24.4,100,0,81.4,18.6
Courtney Williams,Chicago Sky,1611661329,2005,15,30.6,69.8,30.2,55.3,29.3,41.5,14.6,3.2,17.9,26,35.3,64.7,94.1,5.9,54.9,45.1
Dana Evans,Chicago Sky,1611661329,2005,14,22.9,55.3,44.7,51.1,13.5,31.6,8.3,17.3,24.1,37.6,38.2,61.8,85.7,14.3,52.1,47.9
Elizabeth Williams,Chicago Sky,1611661329,2005,15,28.1,100,0,91.1,3.3,0,4.9,8.9,18.7,87.8,85.7,14.3,0,0,85.7,14.3
Kahleah Copper,Chicago Sky,1611661329,2005,14,31.4,76.3,23.7,58.3,21.7,27.4,21.3,14.3,20.9,36.5,64.2,35.8,95.2,4.8,71.6,28.4
Khaalia Hillsman,Chicago Sky,1611661329,2005,1,0.9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Kristine Anigwe,Chicago Sky,1611661329,2005,9,9.1,95.5,4.5,80,0,0,16,20,24,80,50,50,0,0,50,50
Marina Mabrey,Chicago Sky,1611661329,2005,14,30.5,60.3,39.7,45.7,17.9,35,16.6,19.3,18.4,27.8,41.2,58.8,65.4,34.6,49.4,50.6
Morgan Bertsch,Chicago Sky,1611661329,2005,7,17.2,74.3,25.7,60.5,9.3,27.9,27.9,11.6,23.3,51.2,84.6,15.4,100,0,88.2,11.8
Rebekah Gardner,Chicago Sky,1611661329,2005,3,19.8,64.3,35.7,28.6,0,42.9,42.9,28.5,52.4,28.6,0,100,100,0,50,50
Robyn Parks,Chicago Sky,1611661329,2005,12,13,35.7,64.3,21.6,0,73,13.5,5.4,8.1,21.6,75,25,100,0,92.3,7.7
Sika Koné,Chicago Sky,1611661329,2005,11,8.9,91.7,8.3,63.4,0,0,9.8,36.6,14.6,63.4,69.2,30.8,0,0,69.2,30.8
Taylor Soule,Chicago Sky,1611661329,2005,5,5.5,85.7,14.3,28.6,0,0,0,71.4,0,28.6,100,0,0,0,100,0
Amanda Lassiter,Chicago Sky,1611661329,2006,32,24.4,41.3,58.7,34.2,12.5,57.2,8.9,8.6,16.3,21.8,65.9,34.1,87.8,12.2,77.4,22.6
Ashley Robinson,Chicago Sky,1611661329,2006,12,10.4,96.6,3.4,76.2,9.5,14.3,0,9.5,33.3,66.7,37.5,62.5,100,0,44.4,55.6
Bernadette Ngoyisa,Chicago Sky,1611661329,2006,30,20.9,100,0,80.8,7.3,0,5.6,19.2,17.9,73.5,51.6,48.4,0,0,51.6,48.4
Brooke Wyckoff,Chicago Sky,1611661329,2006,15,22.9,34.8,65.2,24,4,60,12,16,26,20,66.7,33.3,70,30,68.8,31.3
Candice Dupree,Chicago Sky,1611661329,2006,34,30.4,98.8,1.2,79.7,27.8,0,9.2,20.3,23.8,51.8,64.5,35.5,0,0,64.5,35.5
Chelsea Newton,Chicago Sky,1611661329,2006,27,24,68.4,31.6,44.3,11.4,22.2,21.6,33.5,27.3,33,56.4,43.6,76.9,23.1,61.5,38.5
Coretta Brown,Chicago Sky,1611661329,2006,15,16.8,25.4,74.6,16.7,4.2,75,6.3,8.3,18.8,12.5,25,75,75,25,62.5,37.5
Deanna Jackson,Chicago Sky,1611661329,2006,22,15,97.6,2.4,72.7,12.1,2.3,11.4,25,13.6,60.6,43.8,56.3,100,0,44.9,55.1
Elaine Powell,Chicago Sky,1611661329,2006,14,18.1,95,5,75.4,5.8,0,8.7,24.6,23.2,69.6,34.6,65.4,0,0,34.6,65.4
Jia Perkins,Chicago Sky,1611661329,2006,30,28,78.3,21.7,61.7,21.3,19.1,13.8,19.2,24.8,40.4,31,69,100,0,42.9,57.1
Katie Cronin,Chicago Sky,1611661329,2006,11,12.1,56.7,43.3,41.7,8.3,50,20.8,8.3,33.3,33.3,40,60,100,0,66.7,33.3
Liz Moeggenberg,Chicago Sky,1611661329,2006,27,10.1,81,19,55.2,20.7,20.7,3.4,24.1,34.5,34.5,56.3,43.8,100,0,65,35
Nikki McCray,Chicago Sky,1611661329,2006,11,7.5,77.3,22.7,63.6,18.2,13.6,27.3,22.8,50,45.5,28.6,71.4,100,0,37.5,62.5
Stacey Dales,Chicago Sky,1611661329,2006,23,19.7,44.9,55.1,33.5,9.9,46.6,8.1,19.9,14.3,23.6,59.3,40.7,76,24,67.3,32.7
Stacey Lovelace,Chicago Sky,1611661329,2006,34,18.5,72.5,27.5,60.1,20.6,22.5,8.7,17.4,19.8,39.5,60.5,39.5,94.7,5.3,67.4,32.6
Armintie Herrington,Chicago Sky,1611661329,2007,34,25.2,98.6,1.4,70,10.1,1.2,30.7,28.8,24.1,59.9,55.6,44.4,100,0,56,44
Brooke Wyckoff,Chicago Sky,1611661329,2007,33,15.3,21.7,78.3,16.3,8.2,73.5,11.2,10.2,20.4,8.2,87.5,12.5,95.8,4.2,93.8,6.3
Candice Dupree,Chicago Sky,1611661329,2007,33,31.1,98.9,1.1,77.3,27.8,0,5.1,22.7,22.2,49.4,68,32,0,0,68,32
Carla Thomas,Chicago Sky,1611661329,2007,15,7.2,97,3,70.6,17.6,0,5.9,29.4,11.8,52.9,50,50,0,0,50,50
Cathy Joens,Chicago Sky,1611661329,2007,19,14.3,43,57,18.9,4.2,69.5,13.7,11.6,29.5,14.7,66.7,33.3,81.8,18.2,77.4,22.6
Chasity Melvin,Chicago Sky,1611661329,2007,29,27.9,97.7,2.3,75.5,14.4,1.1,4.3,23.4,22.3,61.2,58.1,41.9,0,100,57.5,42.5
Claire Coggins,Chicago Sky,1611661329,2007,19,10.4,34.3,65.7,34,17,63.8,4.3,2.2,23.4,17,62.5,37.5,80,20,72.2,27.8
Dominique Canty,Chicago Sky,1611661329,2007,30,24.3,93,7,65,18.9,4.9,10.3,30.1,23.9,46.1,44.3,55.7,100,0,47,53
Jia Perkins,Chicago Sky,1611661329,2007,33,22.7,72.3,27.7,58.9,28.6,30.5,12,10.6,29.7,30.2,46,54,89.7,10.3,57.2,42.8
Kayte Christensen,Chicago Sky,1611661329,2007,22,9.5,100,0,83.3,41.7,0,0,16.7,12.5,41.7,80,20,0,0,80,20
Liz Moeggenberg,Chicago Sky,1611661329,2007,23,9.1,85.4,14.6,86.5,16.2,8.1,10.8,5.4,16.2,70.3,87.5,12.5,100,0,88.2,11.8
Monique Currie,Chicago Sky,1611661329,2007,2,30.5,59.3,40.7,41.4,6.9,20.7,20.7,37.9,10.3,34.5,50,50,50,50,50,50
Stacey Dales,Chicago Sky,1611661329,2007,31,25.8,35.8,64.2,25.2,13.5,64.8,13.5,10,20.6,11.6,64.1,35.9,86.6,13.4,78.3,21.7
Stephanie Raymond,Chicago Sky,1611661329,2007,20,8.9,28.3,71.7,19.7,6.6,68.9,11.5,11.4,13.1,13.1,33.3,66.7,92.9,7.1,75,25
Armintie Herrington,Chicago Sky,1611661329,2008,34,22.4,99.5,0.5,72.1,10.3,0,38.6,27.9,33,61.8,63.1,36.9,0,0,63.1,36.9
Brooke Queenan,Chicago Sky,1611661329,2008,8,4.5,75,25,100,100,0,0,0,0,0,0,100,0,0,0,100
Brooke Wyckoff,Chicago Sky,1611661329,2008,34,17.5,30.1,69.9,24,13.3,64,0,12,28,10.7,77.8,22.2,93.8,6.3,88,12
Candice Dupree,Chicago Sky,1611661329,2008,34,33.1,98.5,1.5,74.6,15.5,0.5,11,24.9,21.6,59.1,67.6,32.4,0,100,67.3,32.7
Cathy Joens,Chicago Sky,1611661329,2008,26,10.5,28.6,71.4,20.2,10.1,72.7,8.1,7.1,14.1,10.1,70,30,91.7,8.3,85.3,14.7
Chasity Melvin,Chicago Sky,1611661329,2008,34,22.5,98.6,1.4,69.8,5.8,1.1,5.4,29.1,18.7,64,51.5,48.5,100,0,52,48
Dominique Canty,Chicago Sky,1611661329,2008,28,26.3,96.7,3.3,61.9,15,1.3,11.5,36.8,23,46.9,44.3,55.7,0,100,43.7,56.3
Jia Perkins,Chicago Sky,1611661329,2008,34,31.7,74.6,25.4,58.2,27.4,23.4,15.8,18.4,26.3,30.8,45.2,54.8,88.9,11.1,54.5,45.5
K.B. Sharp,Chicago Sky,1611661329,2008,34,17.6,68.9,31.1,57.4,16.7,25,14.8,17.6,25,40.7,29,71,100,0,45,55
Leah Rush,Chicago Sky,1611661329,2008,2,6.2,50,50,0,0,0,0,100,33.3,0,0,0,0,0,0,0
Quianna Chaney,Chicago Sky,1611661329,2008,28,8.5,39.8,60.2,32.4,0,52.9,19.1,14.7,17.6,32.4,36.4,63.6,83.3,16.7,60.9,39.1
Sylvia Fowles,Chicago Sky,1611661329,2008,17,25,100,0,86.4,11.4,0,8.5,13.6,8.5,75,67.1,32.9,0,0,67.1,32.9
Tye'sha Fluker,Chicago Sky,1611661329,2008,26,8.9,95.4,4.6,68.6,28.6,4.3,0,27.1,12.9,40,79.2,20.8,100,0,80,20
Armintie Herrington,Chicago Sky,1611661329,2009,22,14.7,100,0,70.1,18.2,0,29.9,29.9,18.2,51.9,48.1,51.9,0,0,48.1,51.9
Brooke Wyckoff,Chicago Sky,1611661329,2009,27,19.7,31.1,68.9,19.3,7.2,72.3,9.6,8.4,14.5,12,75,25,100,0,92.9,7.1
Candice Dupree,Chicago Sky,1611661329,2009,34,34.9,87,13,67.4,16.1,13.5,10.1,19.1,21.7,51.3,53.3,46.7,100,0,58.8,41.2
Chen Nan,Chicago Sky,1611661329,2009,26,12.3,100,0,94.8,26.8,0,2.1,5.2,12.4,68,65.2,34.8,0,0,65.2,34.8
Dominique Canty,Chicago Sky,1611661329,2009,34,22.8,94.3,5.7,59.8,24.8,5.1,10.7,35.1,22.2,35,51.4,48.6,100,0,54.1,45.9
Erin Thorn,Chicago Sky,1611661329,2009,34,17,45.9,54.1,33.2,22.7,52.6,8.5,14.2,19.4,10.4,37.1,62.9,91.9,8.1,65.3,34.7
Jia Perkins,Chicago Sky,1611661329,2009,34,27.4,79.4,20.6,56.9,21.8,20,16,23.1,22.4,35.1,32.8,67.2,90,10,43.7,56.3
K.B. Sharp,Chicago Sky,1611661329,2009,27,12.1,70.2,29.8,48.6,22.9,25.7,8.6,25.7,27.1,25.7,29.4,70.6,83.3,16.7,43.5,56.5
Katie Mattera,Chicago Sky,1611661329,2009,2,11.6,100,0,54.5,0,0,0,45.5,0,54.5,66.7,33.3,0,0,66.7,33.3
Kristi Toliver,Chicago Sky,1611661329,2009,27,14.3,43.4,56.6,31.2,21.5,58.5,7.3,10.3,24.9,9.8,21.9,78.1,75,25,51.4,48.6
Mistie Bass,Chicago Sky,1611661329,2009,8,15.8,94.9,5.1,81.6,20.4,0,0,18.4,22.4,61.2,80,20,0,0,80,20
Shyra Ely-Gash,Chicago Sky,1611661329,2009,34,14.6,70.1,29.9,52.6,12.1,29.7,5.6,17.7,24.1,40.5,39.3,60.7,95.7,4.3,54.8,45.2
Sylvia Fowles,Chicago Sky,1611661329,2009,24,28.8,100,0,76.3,5.9,0,6.3,23.7,15.6,70.4,66,34,0,0,66,34
Tamera Young,Chicago Sky,1611661329,2009,10,12.9,82.6,17.4,56,12,12,12,32,22,44,42.9,57.1,100,0,50,50
Abi Olajuwon,Chicago Sky,1611661329,2010,6,5,100,0,100,33.3,0,0,0,33.3,66.7,33.3,66.7,0,0,33.3,66.7
Cathrine Kraayeveld,Chicago Sky,1611661329,2010,34,21.2,45.6,54.4,36,9,52.2,10.1,11.8,17.4,27,50,50,100,0,74.6,25.4
Christi Thomas,Chicago Sky,1611661329,2010,15,8.4,95,5,84.2,31.6,0,10.5,15.8,15.8,52.6,100,0,0,0,100,0
Dominique Canty,Chicago Sky,1611661329,2010,34,26,95.5,4.5,67.1,20.2,2,11.4,30.9,17.9,46.9,52.4,47.6,50,50,52.4,47.6
Epiphanny Prince,Chicago Sky,1611661329,2010,34,19.5,74.1,25.9,55.7,11.4,21.6,10.2,22.7,21.3,44.3,16.1,83.9,87.5,12.5,30.8,69.2
Erin Thorn,Chicago Sky,1611661329,2010,34,20.1,41.2,58.8,26.2,17.8,58.9,8.9,14.9,22.4,8.4,53.6,46.4,95.2,4.8,78.6,21.4
Jia Perkins,Chicago Sky,1611661329,2010,34,27.5,70.2,29.8,59,34.2,31.4,12.4,9.6,24.8,24.8,41.1,58.9,94.7,5.3,55.2,44.8
Mistie Bass,Chicago Sky,1611661329,2010,34,18.9,98.4,1.6,81.9,12,0,9.6,18.1,18.7,69.9,79.4,20.6,0,0,79.4,20.6
Sandora Irvin,Chicago Sky,1611661329,2010,18,7.6,76.7,23.3,74.3,17.1,8.6,5.7,17.1,5.7,57.1,69.2,30.8,100,0,71.4,28.6
Shameka Christon,Chicago Sky,1611661329,2010,10,21.3,55.1,44.9,32.9,16.5,49.4,8.2,17.7,31.8,16.5,42.9,57.1,100,0,71.4,28.6
Shay Murphy,Chicago Sky,1611661329,2010,11,14.1,52.5,47.5,32.1,0,42.9,12.5,25,19.6,32.1,55.6,44.4,100,0,76.5,23.5
Sylvia Fowles,Chicago Sky,1611661329,2010,34,32,99.7,0.3,74.9,10.2,0.5,7.8,24.6,21.1,64.7,69.6,30.4,100,0,69.7,30.3
Tamera Young,Chicago Sky,1611661329,2010,32,18.6,77.6,22.4,58.1,14.7,18,20.7,23.9,20.3,43.3,49.2,50.8,92.3,7.7,56.6,43.4
Angie Bjorklund,Chicago Sky,1611661329,2011,7,6.2,54.5,45.5,25,25,37.5,0,37.5,37.5,0,100,0,100,0,100,0
Carolyn Swords,Chicago Sky,1611661329,2011,29,7.5,100,0,72.7,2.6,0,10.4,27.3,13,70.1,82.1,17.9,0,0,82.1,17.9
Cathrine Kraayeveld,Chicago Sky,1611661329,2011,33,20.6,24,76,14.4,9.2,80,1.5,5.6,20.5,5.1,28.6,71.4,96.2,3.8,81.8,18.2
Courtney Vandersloot,Chicago Sky,1611661329,2011,34,22.9,72.6,27.4,61.8,15.5,21.8,26.8,16.4,22.7,46.4,25,75,81.3,18.8,35.7,64.3
Dominique Canty,Chicago Sky,1611661329,2011,22,15.1,93.6,6.4,75.6,17.8,3.3,16.7,21.1,18.9,57.8,29.4,70.6,0,100,28.6,71.4
Epiphanny Prince,Chicago Sky,1611661329,2011,34,29.4,69,31,48.3,19,32.3,13.1,19.4,27.2,29.3,16.1,83.9,80,20,35.8,64.2
Erin Thorn,Chicago Sky,1611661329,2011,34,16.8,50.3,49.7,37.4,30.8,52.7,8.2,9.9,20.9,6.6,32.4,67.6,68.8,31.3,50,50
Lindsay Wisdom-Hylton,Chicago Sky,1611661329,2011,29,8.1,98.1,1.9,91.7,25,0,0,8.3,18.8,66.7,72.7,27.3,0,0,72.7,27.3
Michelle Snow,Chicago Sky,1611661329,2011,34,24.1,98.9,1.1,81.2,36.6,0,2,18.8,20.3,44.6,76.8,23.2,0,0,76.8,23.2
Shay Murphy,Chicago Sky,1611661329,2011,10,20.5,70.2,29.8,42.9,2,30.6,23.5,26.5,25.5,40.8,52.4,47.6,80,20,61.3,38.7
Sylvia Fowles,Chicago Sky,1611661329,2011,34,34.6,100,0,77.4,7.4,0,9,22.6,19,70,76.8,23.2,0,0,76.8,23.2
Tamera Young,Chicago Sky,1611661329,2011,33,24,97.1,2.9,77.7,23.8,1.2,18.8,21.1,28.1,53.8,55.4,44.6,100,0,55.9,44.1
Carolyn Swords,Chicago Sky,1611661329,2012,30,11.1,100,0,87.4,6.7,0,1.7,12.6,16,80.7,75,25,0,0,75,25
Courtney Vandersloot,Chicago Sky,1611661329,2012,34,26.7,71.1,28.9,59.8,19.3,27.9,12.6,12.3,18.3,40.5,17.8,82.2,71.4,28.6,30.5,69.5
Epiphanny Prince,Chicago Sky,1611661329,2012,26,30,59.2,40.8,41.6,17.8,37.6,10.4,20.8,18.9,23.8,23.5,76.5,69.5,30.5,40.8,59.2
Le'coe Willingham,Chicago Sky,1611661329,2012,33,18.5,43,57,35.1,1.8,52.6,1.8,12.3,20.2,33.3,45,55,100,0,72.5,27.5
Ruth Riley,Chicago Sky,1611661329,2012,33,14.4,81.1,18.9,70.5,50,17,2.3,12.5,15.9,20.5,83.9,16.1,100,0,86.1,13.9
Shay Murphy,Chicago Sky,1611661329,2012,29,18.6,50.7,49.3,34.1,8.1,54.9,17.1,11,22.8,26,35.7,64.3,97.8,2.2,67.8,32.2
Sonja Petrovic,Chicago Sky,1611661329,2012,30,15.1,59.6,40.4,51,24.8,35.2,14.5,13.8,33.1,26.2,43.2,56.8,94.1,5.9,59.3,40.7
