"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","118357","B","","","0"
"2020","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","117111","A","","","0"
"1990","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","54400","","","","0"
"1991","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","55100","","","","0"
"1992","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","51400","","","","0"
"1993","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","50700","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","51400","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","51000","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","51900","B","","","0"
"1997","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","56800","B","","","0"
"1998","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","58300","B","","","0"
"1999","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","55900","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","58700","B","","","0"
"2001","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","60900","B","","","0"
"2002","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","59400","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","61200","B","","","0"
"2004","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","63500","B","","","0"
"2005","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","64700","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","68700","B","","","0"
"2007","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","72500","B","","","0"
"2008","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","72900","B","","","0"
"2009","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","72100","B","","","0"
"2010","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","72900","B","","","0"
"2011","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","73400","B","","","0"
"2012","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","77100","B","","","0"
