"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","119527","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","128145","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","143222","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","154026","A","","","0"
"2008","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","160089","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","161326","A","","","0"
"2010","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","165148","A","","","0"
"2011","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","173566","A","","","0"
"2012","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","186451","A","","","0"
"2013","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","190699","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","199407","A","","","0"
"2015","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","203931","A","","","0"
"2016","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","184504","A","","","0"
"2017","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","194294","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","195051","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","196437","A","","","0"
"2020","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","197337","A","","","0"
