"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","64406","B","","","0"
"2012","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","69081","B","","","0"
"2013","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","69418","B","","","0"
"2014","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","71083","B","","","0"
"2015","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","73596","A","","","0"
"2016","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","72751","B","","","0"
"2017","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","75605","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","74684","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","78080","B","","","0"
"2020","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","80226","A","","","0"
"1990","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","31100","","","","0"
"1991","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","30700","","","","0"
"1992","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","31200","","","","0"
"1993","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","30100","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","29500","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","29700","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","29300","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","30000","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","31200","B","","","0"
"1999","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","32000","B","","","0"
"2000","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","32700","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","34600","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","33900","B","","","0"
"2003","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","34000","B","","","0"
"2004","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","35300","B","","","0"
"2005","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","37900","B","","","0"
"2006","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","38300","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","40600","B","","","0"
"2008","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","41200","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","41900","B","","","0"
"2010","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","42200","B","","","0"
"2011","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","44600","B","","","0"
"2012","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","46600","B","","","0"
"2013","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","46400","B","","","0"
"2014","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","45700","B","","","0"
"2015","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","46600","A","","","0"
"2016","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","45800","B","","","0"
"2017","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","46900","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","46000","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","47100","B","","","0"
"2020","Alberta","2016A000248","16 years and over","Females","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680807","12.1.3.1.4","47300","A","","","0"
"1990","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","24800","","","","0"
"1991","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","24600","","","","0"
"1992","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","24000","","","","0"
"1993","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","23700","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","22700","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","23800","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","22900","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","23500","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","23300","B","","","0"
"1999","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","24400","B","","","0"
